mean_accuracy,beta,kernel_scae,feature_maps,hidden_neurons,surrogate_grad,timestep
0.8960573476702508,0.9,"(1, 1, 3)",64,"[128, 64]",atan,29
0.831388888888889,0.5,"(1, 1, 3)",64,"[128, 64]",atan,29
0.8634259259259259,0.9,"(1, 1, 3)",64,"[64, 32]",atan,29
0.791950113378685,0.5,"(1, 1, 3)",64,"[64, 32]",atan,29
0.8956290849673203,0.9,"(1, 1, 5)",64,"[128, 64]",atan,29
0.8492647058823529,0.5,"(1, 1, 5)",64,"[128, 64]",atan,29
0.8438888888888889,0.9,"(1, 1, 5)",64,"[64, 32]",atan,29
0.8027777777777779,0.5,"(1, 1, 5)",64,"[64, 32]",atan,29
0.7487499999999998,0.9,"(1, 1, 3)",64,"[128, 64]",fast_sigmoid,29
0.6129385964912281,0.5,"(1, 1, 3)",64,"[128, 64]",fast_sigmoid,29
0.7794444444444446,0.9,"(1, 1, 3)",64,"[64, 32]",fast_sigmoid,29
0.3767361111111111,0.5,"(1, 1, 3)",64,"[64, 32]",fast_sigmoid,29
0.7241512345679012,0.9,"(1, 1, 5)",64,"[128, 64]",fast_sigmoid,29
0.6002777777777778,0.5,"(1, 1, 5)",64,"[128, 64]",fast_sigmoid,29
0.6668055555555554,0.9,"(1, 1, 5)",64,"[64, 32]",fast_sigmoid,29
0.3890277777777778,0.5,"(1, 1, 5)",64,"[64, 32]",fast_sigmoid,29
0.8570906432748537,0.9,"(1, 1, 3)",64,"[128, 64]",atan,116
0.8039021164021165,0.5,"(1, 1, 3)",64,"[128, 64]",atan,116
0.8861111111111112,0.9,"(1, 1, 3)",64,"[64, 32]",atan,116
0.834201388888889,0.5,"(1, 1, 3)",64,"[64, 32]",atan,116
0.8817049808429119,0.9,"(1, 1, 5)",64,"[128, 64]",atan,116
0.8207070707070708,0.5,"(1, 1, 5)",64,"[128, 64]",atan,116
0.8802681992337165,0.9,"(1, 1, 5)",64,"[64, 32]",atan,116
0.8687641723356009,0.5,"(1, 1, 5)",64,"[64, 32]",atan,116
0.8641666666666669,0.9,"(1, 1, 3)",64,"[128, 64]",fast_sigmoid,116
0.6581944444444444,0.5,"(1, 1, 3)",64,"[128, 64]",fast_sigmoid,116
0.783179012345679,0.9,"(1, 1, 3)",64,"[64, 32]",fast_sigmoid,116
0.5819978632478632,0.5,"(1, 1, 3)",64,"[64, 32]",fast_sigmoid,116
0.8452380952380952,0.9,"(1, 1, 5)",64,"[128, 64]",fast_sigmoid,116
0.6104166666666667,0.5,"(1, 1, 5)",64,"[128, 64]",fast_sigmoid,116
0.8454301075268817,0.9,"(1, 1, 5)",64,"[64, 32]",fast_sigmoid,116
0.6021825396825397,0.5,"(1, 1, 5)",64,"[64, 32]",fast_sigmoid,116
