,Lambda,Sparsity,Error
0,0.0,0.13453694907101718,0.13809431483404655
1,0.1,0.6064855402166193,0.1625679828278668
2,0.2,0.6808862252668901,0.2023072850682226
3,0.30000000000000004,0.6751725023443048,0.19132760920440015
4,0.4,0.7461304231123491,0.23892931789724214
5,0.5,0.6646632714705034,0.26938518434599745
6,0.6000000000000001,0.8340731534090909,0.28866959577708534
7,0.7000000000000001,0.7877775539051403,0.2769953425736084
8,0.8,0.751619425686923,0.2860200517736416
9,0.9,0.6787405881014738,0.3352413233030926
10,1.0,0.7723138115622781,0.3360274028855485
